date,day_idx,bsi_z,move_ma30,sofr,tranche_return,hyg_return,afrm_return,gate_bsi,gate_move,gate_ccd2,approved,trs_cash_carry,trs_financing_drag,trs_mtm_trs,trs_mtm_hedge,trs_transaction_costs,trs_daily_pnl,naive_cash_carry,naive_mtm,naive_tx_costs,naive_htb_fee,naive_daily_pnl
2022-09-26,41,0.666030,128.0633,0.029900,-0.011784,-0.011784,-0.012448,0,1,1,0,0.00011910,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00011910,0.00011910,0.00000000,-0.00000000,-0.00000000,0.00011910
2022-09-27,42,0.933509,129.4397,0.029800,-0.001804,-0.002104,0.018382,0,1,1,0,0.00011871,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00011871,0.00011871,-0.00000000,-0.00000000,-0.00000000,0.00011871
2022-09-28,43,0.948728,130.8160,0.029800,0.017855,0.017855,0.065498,0,1,1,0,0.00011873,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00011873,0.00011873,-0.00000000,-0.00000000,-0.00000000,0.00011873
2022-09-29,44,0.180883,131.7453,0.029600,-0.008792,-0.009392,-0.077444,0,1,1,0,0.00011795,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00011795,0.00011795,0.00000000,-0.00000000,-0.00000000,0.00011795
2022-09-30,45,-0.255714,132.3480,0.029800,-0.005201,-0.004601,-0.015740,0,1,1,0,0.00011876,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00011876,0.00011876,0.00000000,-0.00000000,-0.00000000,0.00011876
2022-10-03,46,0.478489,132.9163,0.030000,0.007524,0.008124,0.013326,0,1,1,0,0.00011957,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00011957,0.00011957,-0.00000000,-0.00000000,-0.00000000,0.00011957
2022-10-04,47,0.338847,133.4950,0.030400,0.020337,0.021537,0.136770,0,1,1,0,0.00012118,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00012118,0.00012118,-0.00000000,-0.00000000,-0.00000000,0.00012118
2022-10-05,48,0.372514,134.1243,0.030400,-0.003944,-0.003944,-0.031930,0,1,1,0,0.00012119,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00012119,0.00012119,0.00000000,-0.00000000,-0.00000000,0.00012119
2022-10-06,49,0.435521,135.0230,0.030500,-0.003304,-0.003004,0.001434,0,1,1,0,0.00012160,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00012160,0.00012160,-0.00000000,-0.00000000,-0.00000000,0.00012160
2022-10-07,50,0.079524,135.8733,0.030500,-0.012190,-0.012190,-0.097852,0,1,1,0,0.00012162,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00012162,0.00012162,0.00000000,-0.00000000,-0.00000000,0.00012162
